Title,Celebrities,Movie Reference,Release Date,Imdb Rating
There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",https://www.imdb.com/title/tt0469494/,2007,8.1
Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",https://www.imdb.com/title/tt0096283/,1988,8.1
Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",https://www.imdb.com/title/tt0055031/,1961,8.1
The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",https://www.imdb.com/title/tt0040897/,1948,8.1
Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",https://www.imdb.com/title/tt0046912/,1954,8.1
"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",https://www.imdb.com/title/tt5027774/,2017,8.1
Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",https://www.imdb.com/title/tt0071315/,1974,8.1
The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",https://www.imdb.com/title/tt0015864/,1925,8.1
Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",https://www.imdb.com/title/tt0476735/,2005,8.1
Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",https://www.imdb.com/title/tt1130884/,2010,8.1
No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",https://www.imdb.com/title/tt0477348/,2007,8.1
V for Vendetta,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",https://www.imdb.com/title/tt0434409/,2005,8.1
Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",https://www.imdb.com/title/tt0050976/,1957,8.1
Inside Out,"Pete Docter (dir.), Amy Poehler, Bill Hader",https://www.imdb.com/title/tt2096673/,2015,8.1
Warrior,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",https://www.imdb.com/title/tt1291584/,2011,8.1
The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",https://www.imdb.com/title/tt0080678/,1980,8.1
The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",https://www.imdb.com/title/tt0084787/,1982,8.1
The Sixth Sense,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",https://www.imdb.com/title/tt0167404/,1999,8.1
Trainspotting,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",https://www.imdb.com/title/tt0117951/,1996,8.1
Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",https://www.imdb.com/title/tt0107290/,1993,8.1
